"","Sub-popuation  1 ","Sub-popuation  2 ","Sub-popuation  3 ","Sub-population 4*","Sub-popuation  5 ","Sub-popuation  6 ","Sub-popuation  7 ","Sub-population 8*","Sub-population 9","Sub-population 10*","Sub-population 11*","Sub-population 12*","Sub-population 13","Sub-population 14*","Sub-population 15*","Method"
"lower",2.22701492941513,2.18711447095699,2.28412073094634,1.67101703264243,2.05227702599252,1.70067460798281,2.22635936439041,1.70005903897545,2.31679990055015,2.0687493074725,2.10708409456543,1.96865627705456,2.10154227447498,1.91580189312326,2.19799346396873,NA
"upper",3.11842141885341,3.05265825061683,3.24013882405376,2.49346320521078,2.93128295080512,2.60698678863331,3.22315947941625,2.57070154077662,3.28441387483156,2.9375199051825,3.062891988182,2.98497947539613,3.03854308203684,2.8728866671191,3.19510496342958,NA
